--- Weapons

#newitem
#id offhandaxe
#gameid 17
#sprite /graphics/offhand/standard/axe.png
#tag "name berserker"
#theme "primitive"
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id offhandbroadsword
#gameid 8
#sprite /graphics/offhand/standard/broadsword.png
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id offhandhammer
#gameid 13
#sprite /graphics/offhand/standard/hammer.png
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/offhand/standard/mace.png
#tag "name berserker"
#theme "primitive"
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem


#newitem
#id offhandshortsword
#gameid 6
#sprite /graphics/offhand/standard/shortsword.png
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem


#newitem
#id offhanddagger
#gameid 9
#sprite /graphics/offhand/standard/dagger.png
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem


